Acq. time (s)=	10
Accumulations=	2
Range (cm-¹)=	400...1800
Windows=	1
Autofocus=	Off
AutoExposure=	Off
Spike filter=	Multiple accum.
Delay time (s)=	1
Binning=	1
Readout mode=	Signal
DeNoise=	Off
ICS correction=	Off
Dark correction=	Off
Inst. Process=	Off
Instrument=	XploRA
Detector=	Syncerity
Objective=	x100
Grating=	1800 gr/mm
Filter=	50%
Laser (nm)=	532 
Slit (µm)=	100 
Hole (µm)=	100 
Laser pol=	None
Raman pol=	None
Output=	Camera
StageXY=	Marzhauser
StageZ=	
596.533	276
597.699	280
598.865	287
600.03	298
601.195	280
602.359	280
603.524	276
604.688	278
605.851	286
607.015	269
608.177	276
609.341	257
610.503	271
611.665	265
612.827	285
613.988	285
615.15	296
616.311	277
617.472	282
618.631	287
619.792	274
620.951	271
622.11	264
623.27	289
624.429	273
625.587	260
626.745	277
627.903	282
629.061	273
630.218	265
631.375	286
632.531	271
633.688	275
634.844	268
635.999	298
637.155	293
638.31	288
639.465	296
640.619	283
641.774	290
642.927	286
644.081	269
645.234	262
646.388	270
647.54	274
648.692	266
649.844	261
650.996	265
652.148	278
653.299	284
654.45	286
655.6	281
656.751	292
657.9	272
659.05	281
660.2	276
661.349	299
662.497	275
663.646	293
664.793	279
665.941	294
667.089	275
668.236	299
669.383	292
670.53	281
671.676	276
672.822	290
673.967	289
675.113	284
676.258	279
677.403	285
678.548	300
679.691	286
680.836	294
681.979	279
683.122	275
684.265	294
685.407	280
686.549	287
687.692	296
688.834	294
689.975	289
691.116	286
692.257	281
693.397	284
694.537	294
695.678	289
696.818	284
697.957	280
699.095	290
700.234	289
701.373	280
702.51	294
703.648	286
704.786	286
705.923	291
707.06	292
708.197	313
709.333	301
710.469	292
711.605	278
712.74	280
713.875	268
715.009	298
716.144	279
717.278	298
718.412	298
719.545	283
720.679	291
721.812	285
722.944	295
724.077	280
725.209	282
726.341	295
727.472	275
728.603	288
729.733	287
730.864	285
731.994	280
733.124	302
734.254	295
735.384	301
736.512	289
737.641	297
738.769	280
739.897	295
741.026	312
742.153	307
743.28	298
744.407	302
745.533	308
746.66	334
747.786	335
748.912	343
750.037	368
751.162	389
752.287	377
753.412	401
754.535	385
755.659	379
756.783	385
757.906	390
759.029	359
760.152	349
761.274	349
762.396	335
763.518	337
764.639	323
765.761	322
766.882	291
768.003	316
769.122	303
770.243	301
771.362	294
772.481	309
773.6	289
774.719	284
775.837	292
776.956	291
778.074	292
779.192	278
780.308	280
781.426	281
782.542	299
783.659	283
784.774	274
785.89	282
787.006	284
788.121	269
789.236	271
790.35	267
791.465	285
792.579	293
793.693	292
794.806	285
795.919	298
797.032	293
798.145	299
799.256	281
800.368	297
801.48	289
802.591	279
803.702	277
804.813	286
805.924	290
807.034	288
808.143	288
809.252	294
810.362	292
811.471	287
812.579	298
813.687	289
814.796	297
815.903	285
817.011	294
818.118	291
819.225	294
820.331	301
821.437	306
822.543	305
823.649	296
824.754	326
825.859	308
826.963	324
828.068	290
829.172	298
830.276	311
831.38	301
832.482	301
833.586	308
834.688	326
835.79	303
836.892	304
837.994	292
839.096	305
840.197	319
841.298	289
842.398	314
843.499	315
844.598	322
845.698	324
846.797	328
847.896	315
848.995	330
850.094	319
851.192	332
852.289	310
853.387	318
854.484	318
855.581	312
856.678	319
857.774	320
858.87	328
859.966	323
861.062	316
862.156	318
863.252	334
864.346	327
865.44	338
866.535	345
867.628	354
868.722	347
869.814	345
870.907	352
872	347
873.092	351
874.185	347
875.276	342
876.367	343
877.458	338
878.549	332
879.639	349
880.729	310
881.819	324
882.908	332
883.998	318
885.087	332
886.175	323
887.264	321
888.352	330
889.44	351
890.528	311
891.614	349
892.702	334
893.788	328
894.874	338
895.96	323
897.046	336
898.131	323
899.216	315
900.301	312
901.385	309
902.47	295
903.554	318
904.637	308
905.72	299
906.803	294
907.886	285
908.969	294
910.051	289
911.133	305
912.214	293
913.296	291
914.377	278
915.457	283
916.538	284
917.618	277
918.698	270
919.777	292
920.856	276
921.935	285
923.013	292
924.092	301
925.17	280
926.248	295
927.325	281
928.402	289
929.479	299
930.556	290
931.632	294
932.708	294
933.784	285
934.859	292
935.934	269
937.009	278
938.083	282
939.158	264
940.231	289
941.305	263
942.379	264
943.451	267
944.524	267
945.597	262
946.668	272
947.74	282
948.812	262
949.883	266
950.954	280
952.025	269
953.095	263
954.165	256
